epi_week,state,loc,loc_type,disease,cases,incidence_per_100000
193704,WA,WASHINGTON,STATE,MEASLES,69,4.1
193705,WA,WASHINGTON,STATE,MEASLES,42,2.5
193706,WA,WASHINGTON,STATE,MEASLES,61,3.63
193707,WA,WASHINGTON,STATE,MEASLES,12,0.71
193708,WA,WASHINGTON,STATE,MEASLES,43,2.56
193709,WA,WASHINGTON,STATE,MEASLES,23,1.37
193710,WA,WASHINGTON,STATE,MEASLES,29,1.73
193711,WA,WASHINGTON,STATE,MEASLES,39,2.32
193712,WA,WASHINGTON,STATE,MEASLES,28,1.67
193713,WA,WASHINGTON,STATE,MEASLES,51,3.03
193714,WA,WASHINGTON,STATE,MEASLES,46,2.74
193715,WA,WASHINGTON,STATE,MEASLES,54,3.21
193716,WA,WASHINGTON,STATE,MEASLES,52,3.09
193717,WA,WASHINGTON,STATE,MEASLES,53,3.15
193718,WA,WASHINGTON,STATE,MEASLES,47,2.8
193719,WA,WASHINGTON,STATE,MEASLES,62,3.69
193720,WA,WASHINGTON,STATE,MEASLES,55,3.27
193721,WA,WASHINGTON,STATE,MEASLES,62,3.69
193722,WA,WASHINGTON,STATE,MEASLES,40,2.38
193723,WA,WASHINGTON,STATE,MEASLES,93,5.53
193724,WA,WASHINGTON,STATE,MEASLES,54,3.21
193725,WA,WASHINGTON,STATE,MEASLES,74,4.4
193726,WA,WASHINGTON,STATE,MEASLES,72,4.28
193727,WA,WASHINGTON,STATE,MEASLES,60,3.57
193728,WA,WASHINGTON,STATE,MEASLES,42,2.5
193729,WA,WASHINGTON,STATE,MEASLES,24,1.43
193730,WA,WASHINGTON,STATE,MEASLES,16,0.95
193731,WA,WASHINGTON,STATE,MEASLES,16,0.95
193732,WA,WASHINGTON,STATE,MEASLES,10,0.59
193733,WA,WASHINGTON,STATE,MEASLES,11,0.65
193734,WA,WASHINGTON,STATE,MEASLES,35,2.08
193735,WA,WASHINGTON,STATE,MEASLES,21,1.25
193736,WA,WASHINGTON,STATE,MEASLES,29,1.73
193737,WA,WASHINGTON,STATE,MEASLES,10,0.59
193738,WA,WASHINGTON,STATE,MEASLES,7,0.42
193739,WA,WASHINGTON,STATE,MEASLES,6,0.36
193740,WA,WASHINGTON,STATE,MEASLES,6,0.36
193741,WA,WASHINGTON,STATE,MEASLES,6,0.36
193742,WA,WASHINGTON,STATE,MEASLES,6,0.36
193743,WA,WASHINGTON,STATE,MEASLES,9,0.54
193744,WA,WASHINGTON,STATE,MEASLES,25,1.49
193745,WA,WASHINGTON,STATE,MEASLES,18,1.07
193746,WA,WASHINGTON,STATE,MEASLES,30,1.78
193747,WA,WASHINGTON,STATE,MEASLES,9,0.54
193748,WA,WASHINGTON,STATE,MEASLES,34,2.02
193749,WA,WASHINGTON,STATE,MEASLES,9,0.54
193750,WA,WASHINGTON,STATE,MEASLES,38,2.26
193752,WA,WASHINGTON,STATE,MEASLES,4,0.24
193801,WA,WASHINGTON,STATE,MEASLES,17,1
193802,WA,WASHINGTON,STATE,MEASLES,25,1.47
193803,WA,WASHINGTON,STATE,MEASLES,46,2.71
193804,WA,WASHINGTON,STATE,MEASLES,21,1.24
193805,WA,WASHINGTON,STATE,MEASLES,28,1.65
193806,WA,WASHINGTON,STATE,MEASLES,22,1.3
193807,WA,WASHINGTON,STATE,MEASLES,10,0.59
193808,WA,WASHINGTON,STATE,MEASLES,7,0.41
193809,WA,WASHINGTON,STATE,MEASLES,8,0.47
193810,WA,WASHINGTON,STATE,MEASLES,8,0.47
193811,WA,WASHINGTON,STATE,MEASLES,9,0.53
193812,WA,WASHINGTON,STATE,MEASLES,9,0.53
193813,WA,WASHINGTON,STATE,MEASLES,19,1.12
193814,WA,WASHINGTON,STATE,MEASLES,9,0.53
193815,WA,WASHINGTON,STATE,MEASLES,18,1.06
193816,WA,WASHINGTON,STATE,MEASLES,7,0.41
193817,WA,WASHINGTON,STATE,MEASLES,39,2.3
193818,WA,WASHINGTON,STATE,MEASLES,38,2.24
193819,WA,WASHINGTON,STATE,MEASLES,48,2.83
193820,WA,WASHINGTON,STATE,MEASLES,28,1.65
193821,WA,WASHINGTON,STATE,MEASLES,37,2.18
193822,WA,WASHINGTON,STATE,MEASLES,20,1.18
193823,WA,WASHINGTON,STATE,MEASLES,47,2.77
193824,WA,WASHINGTON,STATE,MEASLES,30,1.77
193825,WA,WASHINGTON,STATE,MEASLES,50,2.94
193826,WA,WASHINGTON,STATE,MEASLES,72,4.24
193827,WA,WASHINGTON,STATE,MEASLES,11,0.65
193828,WA,WASHINGTON,STATE,MEASLES,32,1.86
193829,WA,WASHINGTON,STATE,MEASLES,18,1.03
193830,WA,WASHINGTON,STATE,MEASLES,16,0.94
193831,WA,WASHINGTON,STATE,MEASLES,14,0.8
193832,WA,WASHINGTON,STATE,MEASLES,11,0.65
193833,WA,WASHINGTON,STATE,MEASLES,9,0.53
193834,WA,WASHINGTON,STATE,MEASLES,19,1.12
193835,WA,WASHINGTON,STATE,MEASLES,13,0.74
193836,WA,WASHINGTON,STATE,MEASLES,16,0.94
193837,WA,WASHINGTON,STATE,MEASLES,5,0.29
193838,WA,WASHINGTON,STATE,MEASLES,8,0.47
193839,WA,WASHINGTON,STATE,MEASLES,9,0.53
193840,WA,WASHINGTON,STATE,MEASLES,11,0.62
193841,WA,WASHINGTON,STATE,MEASLES,18,1.06
193842,WA,WASHINGTON,STATE,MEASLES,12,0.71
193843,WA,WASHINGTON,STATE,MEASLES,10,0.59
193844,WA,WASHINGTON,STATE,MEASLES,63,3.71
193845,WA,WASHINGTON,STATE,MEASLES,21,1.24
193846,WA,WASHINGTON,STATE,MEASLES,23,1.33
193847,WA,WASHINGTON,STATE,MEASLES,29,1.68
193848,WA,WASHINGTON,STATE,MEASLES,43,2.53
193849,WA,WASHINGTON,STATE,MEASLES,129,7.57
193850,WA,WASHINGTON,STATE,MEASLES,99,5.83
193851,WA,WASHINGTON,STATE,MEASLES,459,27.03
193852,WA,WASHINGTON,STATE,MEASLES,139,8.19
193901,WA,WASHINGTON,STATE,MEASLES,100,5.8
193902,WA,WASHINGTON,STATE,MEASLES,83,4.84
193903,WA,WASHINGTON,STATE,MEASLES,82,4.75
193904,WA,WASHINGTON,STATE,MEASLES,348,20.29
193905,WA,WASHINGTON,STATE,MEASLES,182,10.61
193906,WA,WASHINGTON,STATE,MEASLES,208,12.13
193907,WA,WASHINGTON,STATE,MEASLES,271,15.8
193908,WA,WASHINGTON,STATE,MEASLES,271,15.8
193909,WA,WASHINGTON,STATE,MEASLES,352,20.52
193910,WA,WASHINGTON,STATE,MEASLES,560,32.65
193911,WA,WASHINGTON,STATE,MEASLES,421,24.55
193912,WA,WASHINGTON,STATE,MEASLES,668,38.95
193913,WA,WASHINGTON,STATE,MEASLES,703,40.99
193914,WA,WASHINGTON,STATE,MEASLES,643,37.49
193915,WA,WASHINGTON,STATE,MEASLES,797,46.47
193916,WA,WASHINGTON,STATE,MEASLES,856,49.91
193917,WA,WASHINGTON,STATE,MEASLES,510,29.71
193918,WA,WASHINGTON,STATE,MEASLES,439,25.6
193919,WA,WASHINGTON,STATE,MEASLES,642,37.41
193920,WA,WASHINGTON,STATE,MEASLES,548,31.92
193921,WA,WASHINGTON,STATE,MEASLES,1300,75.8
193922,WA,WASHINGTON,STATE,MEASLES,399,23.24
193923,WA,WASHINGTON,STATE,MEASLES,1053,61.4
193924,WA,WASHINGTON,STATE,MEASLES,400,23.29
193925,WA,WASHINGTON,STATE,MEASLES,849,49.5
193926,WA,WASHINGTON,STATE,MEASLES,540,31.49
193927,WA,WASHINGTON,STATE,MEASLES,519,30.26
193928,WA,WASHINGTON,STATE,MEASLES,368,21.46
193929,WA,WASHINGTON,STATE,MEASLES,209,12.19
193930,WA,WASHINGTON,STATE,MEASLES,168,9.8
193931,WA,WASHINGTON,STATE,MEASLES,72,4.2
193932,WA,WASHINGTON,STATE,MEASLES,299,17.43
193933,WA,WASHINGTON,STATE,MEASLES,72,4.18
193934,WA,WASHINGTON,STATE,MEASLES,26,1.52
193935,WA,WASHINGTON,STATE,MEASLES,23,1.34
193936,WA,WASHINGTON,STATE,MEASLES,30,1.75
193937,WA,WASHINGTON,STATE,MEASLES,48,2.8
193938,WA,WASHINGTON,STATE,MEASLES,204,11.9
193939,WA,WASHINGTON,STATE,MEASLES,76,4.4
193940,WA,WASHINGTON,STATE,MEASLES,58,3.35
193942,WA,WASHINGTON,STATE,MEASLES,240,13.99
193943,WA,WASHINGTON,STATE,MEASLES,120,7
193944,WA,WASHINGTON,STATE,MEASLES,309,18.02
193945,WA,WASHINGTON,STATE,MEASLES,209,12.19
193946,WA,WASHINGTON,STATE,MEASLES,811,47.29
193947,WA,WASHINGTON,STATE,MEASLES,289,16.85
193948,WA,WASHINGTON,STATE,MEASLES,261,15.22
193949,WA,WASHINGTON,STATE,MEASLES,313,18.25
193950,WA,WASHINGTON,STATE,MEASLES,527,30.7
193951,WA,WASHINGTON,STATE,MEASLES,418,24.37
193952,WA,WASHINGTON,STATE,MEASLES,974,56.79
194001,WA,WASHINGTON,STATE,MEASLES,570,32.76
194002,WA,WASHINGTON,STATE,MEASLES,999,57.41
194003,WA,WASHINGTON,STATE,MEASLES,521,29.94
194004,WA,WASHINGTON,STATE,MEASLES,457,26.26
194005,WA,WASHINGTON,STATE,MEASLES,681,39.14
194006,WA,WASHINGTON,STATE,MEASLES,442,25.4
194007,WA,WASHINGTON,STATE,MEASLES,468,26.87
194008,WA,WASHINGTON,STATE,MEASLES,529,30.4
194009,WA,WASHINGTON,STATE,MEASLES,776,44.6
194010,WA,WASHINGTON,STATE,MEASLES,930,53.45
194011,WA,WASHINGTON,STATE,MEASLES,537,30.86
194012,WA,WASHINGTON,STATE,MEASLES,847,48.68
194013,WA,WASHINGTON,STATE,MEASLES,797,45.8
194014,WA,WASHINGTON,STATE,MEASLES,829,47.61
194015,WA,WASHINGTON,STATE,MEASLES,780,44.83
194016,WA,WASHINGTON,STATE,MEASLES,846,48.62
194017,WA,WASHINGTON,STATE,MEASLES,886,50.92
194019,WA,WASHINGTON,STATE,MEASLES,659,37.87
194020,WA,WASHINGTON,STATE,MEASLES,486,27.93
194021,WA,WASHINGTON,STATE,MEASLES,502,28.85
194022,WA,WASHINGTON,STATE,MEASLES,320,18.39
194023,WA,WASHINGTON,STATE,MEASLES,263,15.11
194024,WA,WASHINGTON,STATE,MEASLES,187,10.75
194025,WA,WASHINGTON,STATE,MEASLES,495,28.45
194026,WA,WASHINGTON,STATE,MEASLES,301,17.27
194027,WA,WASHINGTON,STATE,MEASLES,291,16.72
194028,WA,WASHINGTON,STATE,MEASLES,208,11.95
194029,WA,WASHINGTON,STATE,MEASLES,116,6.64
194030,WA,WASHINGTON,STATE,MEASLES,11,0.63
194031,WA,WASHINGTON,STATE,MEASLES,40,2.27
194032,WA,WASHINGTON,STATE,MEASLES,51,2.9
194034,WA,WASHINGTON,STATE,MEASLES,18,1.01
194035,WA,WASHINGTON,STATE,MEASLES,13,0.75
194036,WA,WASHINGTON,STATE,MEASLES,19,1.09
194037,WA,WASHINGTON,STATE,MEASLES,8,0.46
194039,WA,WASHINGTON,STATE,MEASLES,6,0.34
194040,WA,WASHINGTON,STATE,MEASLES,4,0.23
194041,WA,WASHINGTON,STATE,MEASLES,2,0.11
194042,WA,WASHINGTON,STATE,MEASLES,5,0.29
194043,WA,WASHINGTON,STATE,MEASLES,5,0.29
194044,WA,WASHINGTON,STATE,MEASLES,5,0.29
194045,WA,WASHINGTON,STATE,MEASLES,4,0.23
194046,WA,WASHINGTON,STATE,MEASLES,6,0.34
194047,WA,WASHINGTON,STATE,MEASLES,11,0.63
194048,WA,WASHINGTON,STATE,MEASLES,11,0.63
194049,WA,WASHINGTON,STATE,MEASLES,31,1.78
194050,WA,WASHINGTON,STATE,MEASLES,15,0.86
194052,WA,WASHINGTON,STATE,MEASLES,17,0.98
194101,WA,WASHINGTON,STATE,MEASLES,18,1.01
194102,WA,WASHINGTON,STATE,MEASLES,50,2.79
194103,WA,WASHINGTON,STATE,MEASLES,60,3.35
194104,WA,WASHINGTON,STATE,MEASLES,82,4.58
194105,WA,WASHINGTON,STATE,MEASLES,81,4.53
194106,WA,WASHINGTON,STATE,MEASLES,70,3.91
194107,WA,WASHINGTON,STATE,MEASLES,93,5.2
194109,WA,WASHINGTON,STATE,MEASLES,121,6.76
194110,WA,WASHINGTON,STATE,MEASLES,96,5.37
194111,WA,WASHINGTON,STATE,MEASLES,79,4.42
194112,WA,WASHINGTON,STATE,MEASLES,89,4.97
194113,WA,WASHINGTON,STATE,MEASLES,40,2.24
194114,WA,WASHINGTON,STATE,MEASLES,48,2.68
194115,WA,WASHINGTON,STATE,MEASLES,437,24.4
194117,WA,WASHINGTON,STATE,MEASLES,103,5.76
194118,WA,WASHINGTON,STATE,MEASLES,44,2.46
194119,WA,WASHINGTON,STATE,MEASLES,42,2.35
194120,WA,WASHINGTON,STATE,MEASLES,21,1.17
194121,WA,WASHINGTON,STATE,MEASLES,259,14.45
194122,WA,WASHINGTON,STATE,MEASLES,21,1.17
194123,WA,WASHINGTON,STATE,MEASLES,30,1.68
194124,WA,WASHINGTON,STATE,MEASLES,14,0.78
194125,WA,WASHINGTON,STATE,MEASLES,12,0.67
194126,WA,WASHINGTON,STATE,MEASLES,52,2.91
194127,WA,WASHINGTON,STATE,MEASLES,15,0.84
194128,WA,WASHINGTON,STATE,MEASLES,7,0.39
194129,WA,WASHINGTON,STATE,MEASLES,8,0.45
194130,WA,WASHINGTON,STATE,MEASLES,5,0.28
194131,WA,WASHINGTON,STATE,MEASLES,5,0.28
194132,WA,WASHINGTON,STATE,MEASLES,1,0.06
194134,WA,WASHINGTON,STATE,MEASLES,1,0.06
194135,WA,WASHINGTON,STATE,MEASLES,6,0.34
194136,WA,WASHINGTON,STATE,MEASLES,3,0.17
194137,WA,WASHINGTON,STATE,MEASLES,7,0.39
194138,WA,WASHINGTON,STATE,MEASLES,11,0.61
194139,WA,WASHINGTON,STATE,MEASLES,4,0.22
194140,WA,WASHINGTON,STATE,MEASLES,5,0.28
194141,WA,WASHINGTON,STATE,MEASLES,9,0.5
194142,WA,WASHINGTON,STATE,MEASLES,6,0.34
194144,WA,WASHINGTON,STATE,MEASLES,3,0.17
194145,WA,WASHINGTON,STATE,MEASLES,1,0.06
194146,WA,WASHINGTON,STATE,MEASLES,2,0.11
194147,WA,WASHINGTON,STATE,MEASLES,10,0.56
194148,WA,WASHINGTON,STATE,MEASLES,11,0.61
194149,WA,WASHINGTON,STATE,MEASLES,6,0.34
194150,WA,WASHINGTON,STATE,MEASLES,7,0.39
194151,WA,WASHINGTON,STATE,MEASLES,4,0.22
194152,WA,WASHINGTON,STATE,MEASLES,17,0.95
194201,WA,WASHINGTON,STATE,MEASLES,31,1.63
194202,WA,WASHINGTON,STATE,MEASLES,25,1.32
194203,WA,WASHINGTON,STATE,MEASLES,35,1.84
194204,WA,WASHINGTON,STATE,MEASLES,51,2.66
194205,WA,WASHINGTON,STATE,MEASLES,70,3.68
194206,WA,WASHINGTON,STATE,MEASLES,41,2.16
194207,WA,WASHINGTON,STATE,MEASLES,54,2.84
194208,WA,WASHINGTON,STATE,MEASLES,111,5.84
194210,WA,WASHINGTON,STATE,MEASLES,253,13.31
194211,WA,WASHINGTON,STATE,MEASLES,322,16.94
194212,WA,WASHINGTON,STATE,MEASLES,291,15.31
194213,WA,WASHINGTON,STATE,MEASLES,286,15.04
194214,WA,WASHINGTON,STATE,MEASLES,354,18.62
194215,WA,WASHINGTON,STATE,MEASLES,209,10.99
194216,WA,WASHINGTON,STATE,MEASLES,377,19.83
194217,WA,WASHINGTON,STATE,MEASLES,318,16.73
194218,WA,WASHINGTON,STATE,MEASLES,377,19.83
194219,WA,WASHINGTON,STATE,MEASLES,547,28.77
194220,WA,WASHINGTON,STATE,MEASLES,657,34.56
194221,WA,WASHINGTON,STATE,MEASLES,334,17.54
194222,WA,WASHINGTON,STATE,MEASLES,425,22.36
194223,WA,WASHINGTON,STATE,MEASLES,992,52.18
194224,WA,WASHINGTON,STATE,MEASLES,645,33.93
194225,WA,WASHINGTON,STATE,MEASLES,247,12.99
194226,WA,WASHINGTON,STATE,MEASLES,729,38.35
194227,WA,WASHINGTON,STATE,MEASLES,283,14.89
194228,WA,WASHINGTON,STATE,MEASLES,188,9.89
194229,WA,WASHINGTON,STATE,MEASLES,91,4.79
194230,WA,WASHINGTON,STATE,MEASLES,84,4.42
194231,WA,WASHINGTON,STATE,MEASLES,157,8.26
194232,WA,WASHINGTON,STATE,MEASLES,80,4.21
194233,WA,WASHINGTON,STATE,MEASLES,54,2.84
194234,WA,WASHINGTON,STATE,MEASLES,42,2.21
194235,WA,WASHINGTON,STATE,MEASLES,24,1.24
194236,WA,WASHINGTON,STATE,MEASLES,35,1.84
194237,WA,WASHINGTON,STATE,MEASLES,43,2.26
194238,WA,WASHINGTON,STATE,MEASLES,42,2.21
194239,WA,WASHINGTON,STATE,MEASLES,87,4.58
194240,WA,WASHINGTON,STATE,MEASLES,69,3.63
194242,WA,WASHINGTON,STATE,MEASLES,176,9.26
194243,WA,WASHINGTON,STATE,MEASLES,134,7.02
194244,WA,WASHINGTON,STATE,MEASLES,205,10.78
194245,WA,WASHINGTON,STATE,MEASLES,312,16.41
194246,WA,WASHINGTON,STATE,MEASLES,408,21.46
194247,WA,WASHINGTON,STATE,MEASLES,238,12.52
194248,WA,WASHINGTON,STATE,MEASLES,216,11.34
194249,WA,WASHINGTON,STATE,MEASLES,383,20.15
194250,WA,WASHINGTON,STATE,MEASLES,440,23.15
194251,WA,WASHINGTON,STATE,MEASLES,311,16.36
194252,WA,WASHINGTON,STATE,MEASLES,393,20.67
194301,WA,WASHINGTON,STATE,MEASLES,695,34.29
194302,WA,WASHINGTON,STATE,MEASLES,717,35.37
194303,WA,WASHINGTON,STATE,MEASLES,594,29.3
194304,WA,WASHINGTON,STATE,MEASLES,415,20.47
194305,WA,WASHINGTON,STATE,MEASLES,915,45.14
194306,WA,WASHINGTON,STATE,MEASLES,754,37.2
194307,WA,WASHINGTON,STATE,MEASLES,1189,58.66
194308,WA,WASHINGTON,STATE,MEASLES,999,49.28
194309,WA,WASHINGTON,STATE,MEASLES,841,41.49
194310,WA,WASHINGTON,STATE,MEASLES,845,41.69
194311,WA,WASHINGTON,STATE,MEASLES,947,46.72
194312,WA,WASHINGTON,STATE,MEASLES,686,33.84
194313,WA,WASHINGTON,STATE,MEASLES,531,26.17
194314,WA,WASHINGTON,STATE,MEASLES,564,27.82
194315,WA,WASHINGTON,STATE,MEASLES,463,22.82
194316,WA,WASHINGTON,STATE,MEASLES,393,19.39
194317,WA,WASHINGTON,STATE,MEASLES,458,22.59
194318,WA,WASHINGTON,STATE,MEASLES,389,19.19
194319,WA,WASHINGTON,STATE,MEASLES,620,30.59
194320,WA,WASHINGTON,STATE,MEASLES,386,19.04
194321,WA,WASHINGTON,STATE,MEASLES,589,29.06
194323,WA,WASHINGTON,STATE,MEASLES,361,17.81
194324,WA,WASHINGTON,STATE,MEASLES,158,7.79
194325,WA,WASHINGTON,STATE,MEASLES,189,9.3
194326,WA,WASHINGTON,STATE,MEASLES,133,6.56
194327,WA,WASHINGTON,STATE,MEASLES,93,4.59
194328,WA,WASHINGTON,STATE,MEASLES,74,3.65
194330,WA,WASHINGTON,STATE,MEASLES,41,2.02
194331,WA,WASHINGTON,STATE,MEASLES,15,0.74
194332,WA,WASHINGTON,STATE,MEASLES,21,1.04
194333,WA,WASHINGTON,STATE,MEASLES,14,0.69
194334,WA,WASHINGTON,STATE,MEASLES,32,1.58
194335,WA,WASHINGTON,STATE,MEASLES,17,0.84
194336,WA,WASHINGTON,STATE,MEASLES,5,0.25
194338,WA,WASHINGTON,STATE,MEASLES,9,0.44
194339,WA,WASHINGTON,STATE,MEASLES,16,0.79
194340,WA,WASHINGTON,STATE,MEASLES,23,1.13
194341,WA,WASHINGTON,STATE,MEASLES,9,0.44
194342,WA,WASHINGTON,STATE,MEASLES,22,1.09
194343,WA,WASHINGTON,STATE,MEASLES,25,1.23
194344,WA,WASHINGTON,STATE,MEASLES,26,1.28
194345,WA,WASHINGTON,STATE,MEASLES,45,2.22
194346,WA,WASHINGTON,STATE,MEASLES,49,2.42
194348,WA,WASHINGTON,STATE,MEASLES,39,1.92
194349,WA,WASHINGTON,STATE,MEASLES,43,2.12
194351,WA,WASHINGTON,STATE,MEASLES,18,0.89
194352,WA,WASHINGTON,STATE,MEASLES,43,2.12
194402,WA,WASHINGTON,STATE,MEASLES,102,4.88
194403,WA,WASHINGTON,STATE,MEASLES,140,6.69
194404,WA,WASHINGTON,STATE,MEASLES,88,4.21
194405,WA,WASHINGTON,STATE,MEASLES,149,7.12
194407,WA,WASHINGTON,STATE,MEASLES,215,10.28
194408,WA,WASHINGTON,STATE,MEASLES,150,7.17
194409,WA,WASHINGTON,STATE,MEASLES,151,7.22
194410,WA,WASHINGTON,STATE,MEASLES,180,8.6
194411,WA,WASHINGTON,STATE,MEASLES,181,8.65
194412,WA,WASHINGTON,STATE,MEASLES,212,10.13
194413,WA,WASHINGTON,STATE,MEASLES,261,12.48
194414,WA,WASHINGTON,STATE,MEASLES,349,16.68
194415,WA,WASHINGTON,STATE,MEASLES,133,6.36
194416,WA,WASHINGTON,STATE,MEASLES,262,12.52
194418,WA,WASHINGTON,STATE,MEASLES,348,16.63
194419,WA,WASHINGTON,STATE,MEASLES,428,20.46
194420,WA,WASHINGTON,STATE,MEASLES,342,16.35
194421,WA,WASHINGTON,STATE,MEASLES,274,13.1
194422,WA,WASHINGTON,STATE,MEASLES,250,11.95
194423,WA,WASHINGTON,STATE,MEASLES,223,10.66
194424,WA,WASHINGTON,STATE,MEASLES,220,10.52
194426,WA,WASHINGTON,STATE,MEASLES,137,6.55
194427,WA,WASHINGTON,STATE,MEASLES,121,5.78
194428,WA,WASHINGTON,STATE,MEASLES,49,2.34
194429,WA,WASHINGTON,STATE,MEASLES,61,2.92
194430,WA,WASHINGTON,STATE,MEASLES,41,1.96
194431,WA,WASHINGTON,STATE,MEASLES,46,2.2
194432,WA,WASHINGTON,STATE,MEASLES,26,1.24
194433,WA,WASHINGTON,STATE,MEASLES,17,0.79
194434,WA,WASHINGTON,STATE,MEASLES,19,0.91
194435,WA,WASHINGTON,STATE,MEASLES,32,1.53
194436,WA,WASHINGTON,STATE,MEASLES,11,0.53
194437,WA,WASHINGTON,STATE,MEASLES,15,0.72
194438,WA,WASHINGTON,STATE,MEASLES,14,0.67
194439,WA,WASHINGTON,STATE,MEASLES,9,0.43
194440,WA,WASHINGTON,STATE,MEASLES,17,0.81
194441,WA,WASHINGTON,STATE,MEASLES,8,0.38
194442,WA,WASHINGTON,STATE,MEASLES,12,0.57
194443,WA,WASHINGTON,STATE,MEASLES,28,1.34
194444,WA,WASHINGTON,STATE,MEASLES,11,0.53
194445,WA,WASHINGTON,STATE,MEASLES,22,1.05
194446,WA,WASHINGTON,STATE,MEASLES,30,1.43
194447,WA,WASHINGTON,STATE,MEASLES,14,0.67
194449,WA,WASHINGTON,STATE,MEASLES,34,1.63
194450,WA,WASHINGTON,STATE,MEASLES,34,1.63
194451,WA,WASHINGTON,STATE,MEASLES,40,1.91
194452,WA,WASHINGTON,STATE,MEASLES,18,0.86
194501,WA,WASHINGTON,STATE,MEASLES,25,1.13
194502,WA,WASHINGTON,STATE,MEASLES,32,1.45
194503,WA,WASHINGTON,STATE,MEASLES,95,4.31
194504,WA,WASHINGTON,STATE,MEASLES,49,2.22
194505,WA,WASHINGTON,STATE,MEASLES,58,2.63
194506,WA,WASHINGTON,STATE,MEASLES,72,3.26
194507,WA,WASHINGTON,STATE,MEASLES,99,4.49
194508,WA,WASHINGTON,STATE,MEASLES,79,3.58
194509,WA,WASHINGTON,STATE,MEASLES,84,3.81
194510,WA,WASHINGTON,STATE,MEASLES,129,5.85
194511,WA,WASHINGTON,STATE,MEASLES,210,9.52
194512,WA,WASHINGTON,STATE,MEASLES,241,10.92
194513,WA,WASHINGTON,STATE,MEASLES,248,11.22
194514,WA,WASHINGTON,STATE,MEASLES,269,12.19
194515,WA,WASHINGTON,STATE,MEASLES,58,2.63
194516,WA,WASHINGTON,STATE,MEASLES,468,21.21
194517,WA,WASHINGTON,STATE,MEASLES,241,10.92
194518,WA,WASHINGTON,STATE,MEASLES,232,10.52
194519,WA,WASHINGTON,STATE,MEASLES,178,8.07
194520,WA,WASHINGTON,STATE,MEASLES,212,9.61
194521,WA,WASHINGTON,STATE,MEASLES,280,12.67
194522,WA,WASHINGTON,STATE,MEASLES,137,6.21
194523,WA,WASHINGTON,STATE,MEASLES,193,8.75
194524,WA,WASHINGTON,STATE,MEASLES,99,4.49
194525,WA,WASHINGTON,STATE,MEASLES,180,8.16
194526,WA,WASHINGTON,STATE,MEASLES,185,8.39
194527,WA,WASHINGTON,STATE,MEASLES,134,6.07
194528,WA,WASHINGTON,STATE,MEASLES,92,4.17
194530,WA,WASHINGTON,STATE,MEASLES,76,3.45
194531,WA,WASHINGTON,STATE,MEASLES,65,2.95
194532,WA,WASHINGTON,STATE,MEASLES,40,1.81
194533,WA,WASHINGTON,STATE,MEASLES,37,1.68
194534,WA,WASHINGTON,STATE,MEASLES,42,1.9
194535,WA,WASHINGTON,STATE,MEASLES,30,1.36
194536,WA,WASHINGTON,STATE,MEASLES,27,1.22
194537,WA,WASHINGTON,STATE,MEASLES,66,2.99
194538,WA,WASHINGTON,STATE,MEASLES,49,2.22
194539,WA,WASHINGTON,STATE,MEASLES,65,2.95
194540,WA,WASHINGTON,STATE,MEASLES,40,1.81
194541,WA,WASHINGTON,STATE,MEASLES,44,1.99
194542,WA,WASHINGTON,STATE,MEASLES,111,5.03
194543,WA,WASHINGTON,STATE,MEASLES,128,5.8
194544,WA,WASHINGTON,STATE,MEASLES,119,5.39
194545,WA,WASHINGTON,STATE,MEASLES,229,10.38
194546,WA,WASHINGTON,STATE,MEASLES,210,9.52
194549,WA,WASHINGTON,STATE,MEASLES,259,11.74
194551,WA,WASHINGTON,STATE,MEASLES,148,6.71
194552,WA,WASHINGTON,STATE,MEASLES,272,12.33
194601,WA,WASHINGTON,STATE,MEASLES,241,10.53
194602,WA,WASHINGTON,STATE,MEASLES,245,10.71
194603,WA,WASHINGTON,STATE,MEASLES,173,7.56
194604,WA,WASHINGTON,STATE,MEASLES,275,12.02
194605,WA,WASHINGTON,STATE,MEASLES,308,13.46
194606,WA,WASHINGTON,STATE,MEASLES,504,22.03
194607,WA,WASHINGTON,STATE,MEASLES,484,21.15
194608,WA,WASHINGTON,STATE,MEASLES,469,20.5
194609,WA,WASHINGTON,STATE,MEASLES,687,30.03
194610,WA,WASHINGTON,STATE,MEASLES,881,38.51
194611,WA,WASHINGTON,STATE,MEASLES,1049,45.85
194612,WA,WASHINGTON,STATE,MEASLES,524,22.88
194613,WA,WASHINGTON,STATE,MEASLES,625,27.32
194614,WA,WASHINGTON,STATE,MEASLES,732,31.99
194615,WA,WASHINGTON,STATE,MEASLES,422,18.44
194616,WA,WASHINGTON,STATE,MEASLES,615,26.88
194617,WA,WASHINGTON,STATE,MEASLES,771,33.7
194618,WA,WASHINGTON,STATE,MEASLES,463,20.24
194619,WA,WASHINGTON,STATE,MEASLES,527,23.03
194620,WA,WASHINGTON,STATE,MEASLES,490,21.42
194621,WA,WASHINGTON,STATE,MEASLES,282,12.3
194622,WA,WASHINGTON,STATE,MEASLES,262,11.45
194623,WA,WASHINGTON,STATE,MEASLES,116,5.07
194624,WA,WASHINGTON,STATE,MEASLES,82,3.58
194625,WA,WASHINGTON,STATE,MEASLES,65,2.84
194626,WA,WASHINGTON,STATE,MEASLES,55,2.4
